Port country;Port name;Port code;Port location;Latitude;Longitude;Port salinity min;Port salinity max;Target category
SE;Bullandö marina;SE_BUL;BM_fouling_plate_3;59.29695129394531;18.65166664123535;5.0;6.0;Target HELCOM
SE;Brofjorden;SE_BRO;ROK_artificial_habitat_1;58.34676742553711;11.40779972076416;0.0;40.0;Target OSPAR
SE;Brofjorden;SE_BRO;ROK_artificial_habitat_2;58.34748458862305;11.408533096313477;0.0;40.0;Target OSPAR
SE;Karlskrona;SEKAA;KAA_RAS_1_1;56.167198181152344;15.632766723632812;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_1_2;56.167198181152344;15.632766723632812;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_1_3;56.167198181152344;15.632766723632812;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_2;56.16346740722656;15.596599578857422;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_3_1;56.16193389892578;15.596183776855469;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_3_2;56.16193389892578;15.596183776855469;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_4;56.16328430175781;15.57741641998291;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_5;56.16310119628906;15.576600074768066;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_RAS_6;56.162418365478516;15.568933486938477;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_artificial_habitat_1;56.16776657104492;15.632983207702637;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_artificial_habitat_2;56.161468505859375;15.631950378417969;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_artificial_habitat_3;56.163482666015625;15.596733093261719;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_1_1;56.163482666015625;15.596733093261719;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_1_2;56.163482666015625;15.596733093261719;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_1_3;56.163482666015625;15.596733093261719;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_2_1;56.16776657104492;15.632983207702637;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_2_2;56.16776657104492;15.632983207702637;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_2_3;56.16776657104492;15.632983207702637;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_3_1;56.161468505859375;15.631950378417969;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_3_2;56.161468505859375;15.631950378417969;9.0;9.0;Target HELCOM
SE;Karlskrona;SEKAA;KAA_fouling_plate_3_3;56.161468505859375;15.631950378417969;9.0;9.0;Target HELCOM
SE;Karlshamn;SEKAN;KAN_RAS_1_1;56.15629959106445;14.828933715820312;9.0;9.0;Target HELCOM
